Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17
2,950	0,575	0,033	1,180	0,183	0,044	1,180	0,003	0,032	1,180	0,567	0,045	1,180	0,044	0,036	1,180	0,029	0,162	1,180	0,023	0,141	1,180	0,015	0,239	1,180	0,022	0,147	1,180	0,021	0,173	1,180	0,023	0,162	1,180	0,027	0,272	1,180	0,023	0,131	1,180	0,023	0,244	1,180	-0,031	0,261	0,590	-0,096	0,021	1,180	0,018	0,126
3,000	0,590	0,058	1,200	0,188	0,044	1,200	0,003	0,032	1,200	0,573	0,045	1,200	0,050	0,034	1,200	0,025	0,169	1,200	0,047	0,154	1,200	0,023	0,242	1,200	0,025	0,153	1,200	0,024	0,178	1,200	0,024	0,168	1,200	0,029	0,276	1,200	0,024	0,136	1,200	0,028	0,250	1,200	-0,005	0,205	0,600	-0,022	0,016	1,200	0,018	0,129
3,050	0,605	0,032	1,220	0,194	0,044	1,220	0,003	0,032	1,220	0,579	0,046	1,220	0,056	0,035	1,220	0,024	0,175	1,220	0,008	0,152	1,220	0,023	0,244	1,220	0,031	0,161	1,220	0,024	0,183	1,220	0,024	0,173	1,220	0,030	0,282	1,220	0,023	0,141	1,220	0,026	0,255	1,220	-0,012	0,193	0,610	-0,047	0,019	1,220	0,025	0,135
3,100	0,619	0,059	1,240	0,201	0,045	1,240	0,003	0,032	1,240	0,585	0,045	1,240	0,062	0,036	1,240	0,022	0,179	1,240	0,022	0,157	1,240	0,023	0,247	1,240	0,019	0,163	1,240	0,025	0,189	1,240	0,025	0,179	1,240	0,029	0,288	1,240	0,021	0,147	1,240	0,027	0,260	1,240	-0,015	0,167	0,620	0,028	0,021	1,240	0,026	0,143
3,150	0,633	0,031	1,260	0,207	0,045	1,260	0,002	0,032	1,260	0,591	0,045	1,260	0,069	0,036	1,260	0,023	0,184	1,260	0,023	0,162	1,260	0,028	0,252	1,260	0,025	0,169	1,260	0,026	0,194	1,260	0,025	0,184	1,260	0,028	0,292	1,260	0,024	0,152	1,260	0,030	0,267	1,260	0,019	0,168	0,630	0,004	0,032	1,260	0,026	0,149
3,200	0,648	0,059	1,280	0,212	0,043	1,280	0,002	0,032	1,280	0,597	0,046	1,280	0,075	0,037	1,280	0,026	0,190	1,280	0,024	0,167	1,280	0,025	0,255	1,280	0,026	0,174	1,280	0,027	0,200	1,280	0,025	0,190	1,280	0,032	0,299	1,280	0,023	0,157	1,280	0,028	0,273	1,280	0,097	0,201	0,640	2,236	0,526	1,280	0,025	0,155
3,250	0,662	0,031	1,300	0,218	0,044	1,300	0,003	0,032	1,300	0,603	0,045	1,300	0,081	0,036	1,300	0,025	0,195	1,300	0,024	0,173	1,300	0,026	0,259	1,300	0,026	0,179	1,300	0,027	0,205	1,300	0,025	0,195	1,300	0,034	0,305	1,300	0,023	0,163	1,300	0,024	0,276	1,300	0,042	0,218	0,650	1,224	0,461	1,300	0,021	0,159
3,300	0,678	0,060	1,320	0,225	0,045	1,320	0,003	0,032	1,320	0,608	0,046	1,320	0,088	0,037	1,320	0,025	0,201	1,320	0,025	0,179	1,320	0,029	0,263	1,320	0,028	0,185	1,320	0,027	0,210	1,320	0,025	0,201	1,320	0,032	0,310	1,320	0,024	0,168	1,320	0,028	0,281	1,320	0,093	0,252	0,660	0,889	0,375	1,320	0,024	0,165
3,350	0,692	0,031	1,340	0,230	0,043	1,340	0,002	0,032	1,340	0,615	0,046	1,340	0,093	0,037	1,340	0,024	0,206	1,340	0,025	0,184	1,340	0,033	0,269	1,340	0,027	0,190	1,340	0,028	0,216	1,340	0,026	0,207	1,340	0,032	0,314	1,340	0,025	0,173	1,340	0,031	0,287	1,340	0,040	0,272	0,670	-0,058	0,108	1,340	0,018	0,167
3,400	0,707	0,060	1,360	0,236	0,044	1,360	0,003	0,032	1,360	0,620	0,045	1,360	0,100	0,037	1,360	0,023	0,211	1,360	0,027	0,189	1,360	0,032	0,274	1,360	0,028	0,195	1,360	0,029	0,221	1,360	0,025	0,212	1,360	0,036	0,320	1,360	0,024	0,179	1,360	0,031	0,294	1,360	0,041	0,279	0,680	0,202	0,130	1,360	0,023	0,172
3,450	0,722	0,039	1,380	0,242	0,044	1,380	0,002	0,032	1,380	0,626	0,046	1,380	0,106	0,038	1,380	0,023	0,216	1,380	0,025	0,195	1,380	0,032	0,281	1,380	0,028	0,201	1,380	0,030	0,227	1,380	0,026	0,217	1,380	0,034	0,326	1,380	0,024	0,185	1,380	0,031	0,299	1,380	0,020	0,271	0,690	0,446	0,216	1,380	0,024	0,177
3,500	0,737	0,061	1,400	0,248	0,038	1,400	0,002	0,032	1,400	0,632	0,046	1,400	0,112	0,038	1,400	0,027	0,222	1,400	0,025	0,200	1,400	0,034	0,286	1,400	0,030	0,206	1,400	0,030	0,232	1,400	0,026	0,223	1,400	0,036	0,330	1,400	0,025	0,190	1,400	0,031	0,305	1,400	0,102	0,316	0,700	0,268	0,170	1,400	0,024	0,183
3,550	0,751	0,030	1,420	0,254	0,027	1,420	0,002	0,032	1,420	0,637	0,046	1,420	0,118	0,038	1,420	0,021	0,225	1,420	0,025	0,205	1,420	0,034	0,290	1,420	0,035	0,211	1,420	0,033	0,237	1,420	0,026	0,228	1,420	0,034	0,334	1,420	0,026	0,196	1,420	0,031	0,310	1,420	0,048	0,315	0,710	0,233	0,170	1,420	0,025	0,188
3,600	0,766	0,061	1,440	0,260	0,042	1,440	0,002	0,032	1,440	0,643	0,046	1,440	0,124	0,039	1,440	0,015	0,225	1,440	0,026	0,211	1,440	0,038	0,297	1,440	0,042	0,221	1,440	0,032	0,242	1,440	0,026	0,233	1,440	0,036	0,339	1,440	0,025	0,202	1,440	0,034	0,315	1,440	0,049	0,330	0,720	0,223	0,163	1,440	0,025	0,194
3,650	0,781	0,030	1,460	0,266	0,044	1,460	0,003	0,032	1,460	0,649	0,045	1,460	0,130	0,038	1,460	0,021	0,219	1,460	0,026	0,216	1,460	0,036	0,303	1,460	0,027	0,226	1,460	0,033	0,248	1,460	0,026	0,238	1,460	0,040	0,345	1,460	0,026	0,207	1,460	0,036	0,322	1,460	0,067	0,346	0,730	0,122	0,175	1,460	0,026	0,200
3,700	0,796	0,062	1,480	0,271	0,044	1,480	0,002	0,032	1,480	0,655	0,046	1,480	0,136	0,039	1,480	0,078	0,246	1,480	0,026	0,222	1,480	0,037	0,307	1,480	0,035	0,232	1,480	0,034	0,253	1,480	0,026	0,243	1,480	0,038	0,350	1,480	0,028	0,213	1,480	0,035	0,327	1,480	0,048	0,352	0,740	-0,008	0,118	1,480	0,032	0,208
3,750	0,810	0,030	1,500	0,277	0,044	1,500	0,002	0,032	1,500	0,661	0,046	1,500	0,143	-5,408E-4	1,500	0,013	0,245	1,500	0,026	0,227	1,500	0,044	0,313	1,500	0,026	0,235	1,500	0,035	0,259	1,500	0,027	0,249	1,500	0,042	0,355	1,500	0,027	0,220	1,500	0,048	0,333	1,500	0,005	0,349	0,750	-0,033	0,104	1,500	0,033	0,218
3,800	0,825	0,063	1,520	0,284	0,044	1,520	0,003	0,033	1,520	0,667	0,032	1,520	0,149	0,035	1,520	0,009	0,241	1,520	0,027	0,233	1,520	0,046	0,320	1,520	0,032	0,239	1,520	0,036	0,264	1,520	0,028	0,255	1,520	0,043	0,361	1,520	0,028	0,226	1,520	0,167	0,338	1,520	0,058	0,347	0,760	0,136	0,124	1,520	0,031	0,226
3,850	0,840	0,034	1,540	0,289	0,044	1,540	0,002	0,032	1,540	0,673	0,044	1,540	0,155	0,038	1,540	0,058	0,259	1,540	0,027	0,238	1,540	0,036	0,323	1,540	0,034	0,244	1,540	0,036	0,269	1,540	0,028	0,260	1,540	0,046	0,367	1,540	0,031	0,234	1,540	0,038	0,343	1,540	0,026	0,350	0,770	0,169	0,174	1,540	0,037	0,238
3,900	0,854	0,074	1,560	0,296	0,045	1,560	0,002	0,032	1,560	0,679	0,045	1,560	0,161	0,039	1,560	0,014	0,256	1,560	0,028	0,243	1,560	0,035	0,325	1,560	0,036	0,249	1,560	0,038	0,275	1,560	0,028	0,265	1,560	0,041	0,370	1,560	0,031	0,241	1,560	0,040	0,348	1,560	0,077	0,356	0,780	0,157	0,202	1,560	0,020	0,239
3,950	0,870	0,048	1,580	0,302	0,045	1,580	0,002	0,032	1,580	0,684	0,046	1,580	0,167	0,039	1,580	0,037	0,269	1,580	0,028	0,249	1,580	0,044	0,331	1,580	0,036	0,255	1,580	0,039	0,280	1,580	0,031	0,271	1,580	0,051	0,377	1,580	0,031	0,249	1,580	0,041	0,354	1,580	0,038	0,354	0,790	-0,055	0,169	1,580	0,030	0,245
4,000	0,884	0,092	1,600	0,307	0,044	1,600	0,003	0,032	1,600	0,690	0,046	1,600	0,173	0,039	1,600	0,027	0,273	1,600	0,029	0,254	1,600	0,043	0,336	1,600	0,038	0,260	1,600	0,040	0,286	1,600	0,030	0,276	1,600	0,049	0,382	1,600	0,032	0,256	1,600	0,042	0,359	1,600	0,022	0,352	0,800	0,010	0,165	1,600	0,033	0,255
4,050	0,899	0,063	1,620	0,313	0,045	1,620	0,003	0,033	1,620	0,697	0,046	1,620	0,179	0,039	1,620	0,028	0,278	1,620	0,029	0,259	1,620	0,048	0,342	1,620	0,039	0,265	1,620	0,041	0,291	1,620	0,030	0,281	1,620	0,053	0,388	1,620	0,030	0,261	1,620	0,044	0,365	1,620	0,072	0,373	0,810	-0,021	0,161	1,620	0,030	0,261
4,100	0,914	0,108	1,640	0,319	0,044	1,640	0,003	0,032	1,640	0,702	0,046	1,640	0,185	0,039	1,640	0,030	0,279	1,640	0,030	0,265	1,640	0,055	0,351	1,640	0,040	0,270	1,640	0,042	0,296	1,640	0,032	0,287	1,640	0,053	0,394	1,640	0,033	0,268	1,640	0,044	0,370	1,640	0,079	0,390	0,820	-0,022	0,142	1,640	0,043	0,271
4,150	0,928	0,074	1,660	0,325	0,044	1,660	0,003	0,032	1,660	0,708	0,046	1,660	0,192	0,040	1,660	-0,007	0,261	1,660	0,031	0,270	1,660	0,055	0,358	1,660	0,040	0,276	1,660	0,043	0,301	1,660	0,033	0,292	1,660	0,050	0,398	1,660	0,029	0,273	1,660	0,043	0,373	1,660	0,060	0,405	0,830	8,051E-4	0,154	1,660	0,046	0,287
4,200	0,943	0,117	1,680	0,330	0,044	1,680	0,003	0,032	1,680	0,714	0,046	1,680	0,198	0,039	1,680	0,040	0,255	1,680	0,029	0,276	1,680	0,052	0,362	1,680	0,043	0,282	1,680	0,045	0,307	1,680	0,033	0,297	1,680	0,049	0,399	1,680	0,034	0,280	1,680	0,048	0,380	1,680	0,028	0,400	0,840	0,123	0,182	1,680	0,024	0,288
4,250	0,957	0,089	1,700	0,337	0,045	1,700	0,003	0,032	1,700	0,720	0,046	1,700	0,204	0,040	1,700	0,007	0,247	1,700	0,031	0,280	1,700	0,060	0,368	1,700	0,053	0,290	1,700	0,046	0,312	1,700	0,035	0,303	1,700	0,006	0,386	1,700	0,033	0,285	1,700	0,049	0,385	1,700	0,089	0,386	0,850	-0,012	0,173	1,700	0,036	0,295
4,300	0,972	0,137	1,720	0,342	0,045	1,720	0,003	0,032	1,720	0,726	0,046	1,720	0,210	0,040	1,720	0,026	0,253	1,720	0,033	0,286	1,720	0,057	0,374	1,720	0,074	0,308	1,720	0,048	0,317	1,720	0,035	0,308	1,720	0,010	0,362	1,720	0,038	0,292	1,720	0,046	0,388	1,720	0,027	0,390	0,860	0,031	0,169	1,720	0,065	0,314
4,350	0,987	0,102	1,740	0,348	0,044	1,740	0,003	0,032	1,740	0,732	0,046	1,740	0,216	0,040	1,740	0,022	0,257	1,740	0,034	0,292	1,740	0,062	0,380	1,740	0,052	0,312	1,740	0,049	0,323	1,740	0,037	0,314	1,740	0,042	0,368	1,740	0,034	0,297	1,740	0,051	0,393	1,740	0,028	0,384	0,870	-0,023	0,166	1,740	0,058	0,329
4,400	1,002	0,153	1,760	0,354	0,043	1,760	0,003	0,032	1,760	0,737	0,046	1,760	0,222	0,040	1,760	0,024	0,261	1,760	0,034	0,297	1,760	0,063	0,385	1,760	0,033	0,309	1,760	0,050	0,327	1,760	0,037	0,318	1,760	0,072	0,383	1,760	0,036	0,302	1,760	0,058	0,400	1,760	0,066	0,401	0,880	0,042	0,167	1,760	0,083	0,353
4,450	1,016	0,117	1,780	0,360	0,052	1,780	0,002	0,032	1,780	0,743	0,045	1,780	0,228	0,040	1,780	0,028	0,267	1,780	0,036	0,303	1,780	0,065	0,389	1,780	0,049	0,312	1,780	0,053	0,333	1,780	0,038	0,324	1,780	0,047	0,387	1,780	0,038	0,308	1,780	0,059	0,406	1,780	0,052	0,394	0,890	-0,011	0,169	1,780	0,057	0,363
4,500	1,031	0,169	1,800	0,366	0,046	1,800	0,003	0,032	1,800	0,749	0,046	1,800	0,234	0,040	1,800	0,030	0,274	1,800	0,037	0,308	1,800	0,066	0,396	1,800	0,057	0,318	1,800	0,055	0,339	1,800	0,039	0,329	1,800	0,026	0,385	1,800	0,034	0,311	1,800	0,055	0,410	1,800	0,094	0,416	0,900	0,059	0,174	1,800	0,054	0,369
4,550	1,046	0,153	1,820	0,372	0,044	1,820	0,003	0,032	1,820	0,756	0,046	1,820	0,241	0,041	1,820	0,028	0,280	1,820	0,038	0,313	1,820	0,055	0,394	1,820	0,061	0,326	1,820	0,056	0,344	1,820	0,041	0,335	1,820	0,111	0,403	1,820	0,036	0,315	1,820	0,061	0,416	1,820	0,061	0,423	0,910	-6,207E-4	0,179	1,820	0,053	0,376
4,600	1,061	0,188	1,840	0,378	0,044	1,840	0,002	0,032	1,840	0,761	0,045	1,840	0,247	0,041	1,840	0,029	0,285	1,840	0,039	0,318	1,840	0,060	0,395	1,840	0,062	0,332	1,840	0,059	0,349	1,840	0,042	0,340	1,840	0,079	0,422	1,840	0,039	0,320	1,840	0,066	0,423	1,840	0,056	0,421	0,920	0,050	0,179	1,840	0,055	0,381
4,650	1,075	0,150	1,860	0,384	0,044	1,860	0,002	0,031	1,860	0,767	0,046	1,860	0,253	0,022	1,860	0,033	0,292	1,860	0,040	0,323	1,860	0,053	0,398	1,860	0,055	0,333	1,860	0,062	0,356	1,860	0,044	0,346	1,860	0,077	0,431	1,860	0,041	0,326	1,860	0,064	0,427	1,860	0,091	0,437	0,930	-0,007	0,182	1,860	0,061	0,388
4,700	1,090	0,206	1,880	0,389	0,044	1,880	0,003	0,032	1,880	0,773	0,056	1,880	0,259	0,035	1,880	0,026	0,295	1,880	0,042	0,329	1,880	0,084	0,407	1,880	0,056	0,336	1,880	0,063	0,360	1,880	0,044	0,350	1,880	0,102	0,450	1,880	0,042	0,331	1,880	0,068	0,432	1,880	0,091	0,455	0,940	0,053	0,184	1,880	0,054	0,391
4,750	1,104	0,169	1,900	0,396	0,045	1,900	0,003	0,032	1,900	0,779	0,054	1,900	0,265	0,040	1,900	0,031	0,298	1,900	0,043	0,334	1,900	0,080	0,416	1,900	0,063	0,340	1,900	0,066	0,366	1,900	0,046	0,356	1,900	0,082	0,454	1,900	0,041	0,336	1,900	0,072	0,438	1,900	0,076	0,458	0,950	-0,003	0,188	1,900	0,057	0,395
4,800	1,119	0,227	1,920	0,401	0,044	1,920	0,003	0,032	1,920	0,785	0,047	1,920	0,271	0,040	1,920	0,034	0,304	1,920	0,045	0,340	1,920	0,077	0,418	1,920	0,067	0,345	1,920	0,069	0,372	1,920	0,048	0,362	1,920	0,083	0,459	1,920	0,046	0,341	1,920	0,076	0,444	1,920	0,022	0,437	0,960	0,054	0,191	1,920	0,062	0,400
4,850	1,134	0,191	1,940	0,407	0,044	1,940	0,003	0,033	1,940	0,791	0,046	1,940	0,277	0,041	1,940	0,036	0,310	1,940	0,046	0,345	1,940	0,078	0,421	1,940	0,070	0,351	1,940	0,072	0,377	1,940	0,049	0,366	1,940	0,079	0,461	1,940	0,045	0,347	1,940	0,076	0,449	1,940	0,083	0,449	0,970	-0,002	0,194	1,940	0,063	0,405
4,900	1,149	0,269	1,960	0,414	0,045	1,960	0,002	0,032	1,960	0,797	0,046	1,960	0,283	0,040	1,960	0,037	0,315	1,960	0,048	0,350	1,960	0,089	0,427	1,960	0,073	0,356	1,960	0,074	0,382	1,960	0,051	0,372	1,960	0,086	0,466	1,960	0,046	0,352	1,960	0,079	0,454	1,960	0,080	0,455	0,980	0,057	0,197	1,960	0,065	0,410
4,950	1,163	0,217	1,980	0,420	0,045	1,980	0,002	0,032	1,980	0,803	0,046	1,980	0,289	0,041	1,980	0,040	0,320	1,980	0,050	0,356	1,980	0,087	0,431	1,980	0,077	0,361	1,980	0,077	0,388	1,980	0,053	0,377	1,980	0,088	0,470	1,980	0,049	0,357	1,980	0,082	0,459	1,980	0,106	0,469	0,990	-0,002	0,201	1,980	0,064	0,413
5,000	1,178	0,275	2,000	0,425	0,045	2,000	0,003	0,032	2,000	0,808	0,045	2,000	0,296	0,041	2,000	0,044	0,327	2,000	0,052	0,361	2,000	0,103	0,440	2,000	0,081	0,367	2,000	0,080	0,393	2,000	0,055	0,383	2,000	0,088	0,475	2,000	0,053	0,363	2,000	0,085	0,466	2,000	0,083	0,473	1,000	0,055	0,203	2,000	0,068	0,418
5,050	1,193	0,238	2,020	0,431	0,044	2,020	0,003	0,032	2,020	0,814	0,046	2,020	0,302	0,042	2,020	0,046	0,333	2,020	0,053	0,366	2,020	0,113	0,450	2,020	0,084	0,372	2,020	0,085	0,398	2,020	0,057	0,388	2,020	0,084	0,478	2,020	0,050	0,367	2,020	0,084	0,470	2,020	0,089	0,478	1,010	-0,005	0,205	2,020	0,070	0,423
5,100	1,208	0,302	2,040	0,437	0,045	2,040	0,003	0,032	2,040	0,820	0,045	2,040	0,307	0,041	2,040	0,047	0,338	2,040	0,056	0,371	2,040	0,119	0,460	2,040	0,088	0,377	2,040	0,088	0,404	2,040	0,060	0,394	2,040	0,096	0,483	2,040	0,054	0,373	2,040	0,088	0,476	2,040	0,090	0,489	1,020	0,054	0,208	2,040	0,073	0,427
5,150	1,223	0,266	2,060	0,443	0,044	2,060	0,003	0,032	2,060	0,826	0,046	2,060	0,313	0,041	2,060	0,060	0,346	2,060	0,059	0,377	2,060	0,113	0,464	2,060	0,093	0,383	2,060	0,091	0,409	2,060	0,062	0,399	2,060	0,094	0,491	2,060	0,059	0,378	2,060	0,086	0,480	2,060	0,080	0,501	1,030	-0,002	0,211	2,060	0,075	0,431
5,200	1,237	0,330	2,080	0,449	0,044	2,080	0,003	0,032	2,080	0,832	0,046	2,080	0,319	0,041	2,080	0,063	0,361	2,080	0,062	0,382	2,080	0,102	0,468	2,080	0,097	0,388	2,080	0,094	0,414	2,080	0,064	0,404	2,080	0,081	0,490	2,080	0,058	0,383	2,080	0,090	0,486	2,080	0,061	0,489	1,040	0,057	0,214	2,080	0,075	0,434
5,250	1,251	0,294	2,100	0,455	0,044	2,100	0,003	0,032	2,100	0,838	0,045	2,100	0,325	0,041	2,100	0,070	0,363	2,100	0,063	0,388	2,100	0,118	0,474	2,100	0,101	0,394	2,100	0,102	0,420	2,100	0,067	0,410	2,100	0,090	0,496	2,100	0,059	0,389	2,100	0,085	0,490	2,100	0,086	0,497	1,050	-0,001	0,218	2,100	0,083	0,441
5,300	1,266	0,349	2,120	0,461	0,044	2,120	0,002	0,032	2,120	0,844	0,046	2,120	0,331	0,041	2,120	0,068	0,371	2,120	0,065	0,393	2,120	0,121	0,479	2,120	0,101	0,399	2,120	0,104	0,425	2,120	0,069	0,415	2,120	0,086	0,501	2,120	0,061	0,393	2,120	0,090	0,496	2,120	0,093	0,505	1,060	0,083	0,227	2,120	0,086	0,446
5,350	1,281	0,325	2,140	0,467	0,044	2,140	0,003	0,032	2,140	0,850	0,046	2,140	0,337	0,042	2,140	0,067	0,376	2,140	0,068	0,398	2,140	0,122	0,483	2,140	0,111	0,404	2,140	0,108	0,431	2,140	0,072	0,420	2,140	0,090	0,506	2,140	0,065	0,398	2,140	0,089	0,503	2,140	0,101	0,521	1,070	0,016	0,235	2,140	0,087	0,451
5,400	1,295	0,392	2,160	0,473	0,045	2,160	0,003	0,032	2,160	0,856	0,046	2,160	0,344	0,041	2,160	0,068	0,380	2,160	0,071	0,404	2,160	0,125	0,488	2,160	0,116	0,410	2,160	0,113	0,436	2,160	0,075	0,426	2,160	0,086	0,511	2,160	0,067	0,404	2,160	0,088	0,509	2,160	0,101	0,540	1,080	0,061	0,237	2,160	0,091	0,457
5,450	1,310	0,357	2,180	0,479	0,044	2,180	0,003	0,032	2,180	0,861	0,046	2,180	0,350	0,042	2,180	0,071	0,385	2,180	0,074	0,409	2,180	0,123	0,494	2,180	0,120	0,415	2,180	0,117	0,441	2,180	0,078	0,431	2,180	0,073	0,512	2,180	0,069	0,408	2,180	0,086	0,515	2,180	0,061	0,538	1,090	-6,866E-4	0,240	2,180	0,093	0,461
5,500	1,325	0,427	2,200	0,485	0,045	2,200	0,003	0,032	2,200	0,868	0,046	2,200	0,356	0,041	2,200	0,070	0,387	2,200	0,076	0,414	2,200	0,147	0,500	2,200	0,127	0,421	2,200	0,122	0,446	2,200	0,081	0,436	2,200	0,072	0,505	2,200	0,071	0,413	2,200	0,082	0,520	2,200	0,082	0,547	1,100	0,052	0,241	2,200	0,098	0,468
5,550	1,339	0,391	2,220	0,490	0,044	2,220	0,003	0,032	2,220	0,873	0,046	2,220	0,362	0,043	2,220	0,084	0,395	2,220	0,082	0,419	2,220	0,134	0,504	2,220	0,129	0,427	2,220	0,125	0,451	2,220	0,084	0,442	2,220	0,077	0,507	2,220	0,074	0,418	2,220	0,080	0,525	2,220	0,048	0,540	1,110	-0,005	0,242	2,220	0,094	0,471
5,600	1,354	0,462	2,240	0,496	0,044	2,240	0,003	0,032	2,240	0,879	0,046	2,240	0,368	0,047	2,240	0,078	0,397	2,240	0,083	0,425	2,240	0,126	0,511	2,240	0,138	0,434	2,240	0,132	0,457	2,240	0,086	0,447	2,240	0,078	0,508	2,240	0,075	0,422	2,240	0,081	0,531	2,240	0,073	0,546	1,120	0,055	0,245	2,240	0,097	0,476
5,650	1,369	0,422	2,260	0,502	0,044	2,260	0,003	0,032	2,260	0,885	0,026	2,260	0,374	0,041	2,260	0,086	0,401	2,260	0,087	0,431	2,260	0,121	0,515	2,260	0,145	0,444	2,260	0,135	0,462	2,260	0,091	0,453	2,260	0,085	0,512	2,260	0,081	0,428	2,260	0,079	0,537	2,260	0,055	0,546	1,130	-0,002	0,247	2,260	0,099	0,480
5,700	1,383	0,499	2,280	0,508	0,044	2,280	0,003	0,032	2,280	0,891	0,043	2,280	0,380	0,041	2,280	0,080	0,402	2,280	0,090	0,436	2,280	0,120	0,521	2,280	0,146	0,453	2,280	0,139	0,468	2,280	0,094	0,458	2,280	0,082	0,517	2,280	0,085	0,434	2,280	0,076	0,542	2,280	0,065	0,549	1,140	0,058	0,250	2,280	0,101	0,485
5,750	1,398	0,465	2,300	0,515	0,044	2,300	0,003	0,032	2,300	0,897	0,046	2,300	0,386	0,041	2,300	0,089	0,406	2,300	0,094	0,441	2,300	0,118	0,526	2,300	0,139	0,459	2,300	0,143	0,473	2,300	0,096	0,463	2,300	0,076	0,519	2,300	0,088	0,439	2,300	0,075	0,547	2,300	0,055	0,544	1,150	3,888E-4	0,253	2,300	0,102	0,492
5,800	1,413	0,539	2,320	0,520	0,044	2,320	0,002	0,032	2,320	0,903	0,047	2,320	0,392	0,041	2,320	0,103	0,414	2,320	0,098	0,446	2,320	0,118	0,533	2,320	0,138	0,465	2,320	0,145	0,478	2,320	0,098	0,468	2,320	0,075	0,519	2,320	0,089	0,444	2,320	0,073	0,552	2,320	0,057	0,541	1,160	0,053	0,253	2,320	0,099	0,496
5,850	1,427	0,505	2,340	0,526	0,044	2,340	0,002	0,032	2,340	0,909	0,047	2,340	0,398	0,042	2,340	0,103	0,420	2,340	0,102	0,452	2,340	0,114	0,541	2,340	0,139	0,473	2,340	0,147	0,483	2,340	0,101	0,474	2,340	0,082	0,525	2,340	0,094	0,450	2,340	0,074	0,558	2,340	0,078	0,548	1,170	-0,002	0,255	2,340	0,096	0,500
5,900	1,442	0,581	2,360	0,532	0,044	2,360	0,002	0,032	2,360	0,915	0,046	2,360	0,404	0,041	2,360	0,112	0,426	2,360	0,106	0,457	2,360	0,109	0,546	2,360	0,124	0,475	2,360	0,149	0,489	2,360	0,102	0,479	2,360	0,078	0,529	2,360	0,098	0,455	2,360	0,072	0,564	2,360	0,083	0,562	1,180	0,056	0,258	2,360	0,101	0,506
5,950	1,457	0,548	2,380	0,538	0,044	2,380	0,003	0,033	2,380	0,921	0,046	2,380	0,410	0,041	2,380	0,113	0,430	2,380	0,110	0,463	2,380	0,106	0,551	2,380	0,113	0,471	2,380	0,149	0,494	2,380	0,103	0,485	2,380	0,074	0,530	2,380	0,101	0,461	2,380	0,071	0,570	2,380	0,064	0,565	1,190	0,002	0,261	2,380	0,101	0,512
6,000	1,472	0,626	2,400	0,544	0,043	2,400	0,002	0,033	2,400	0,927	0,046	2,400	0,416	0,041	2,400	0,119	0,436	2,400	0,125	0,468	2,400	0,107	0,558	2,400	0,130	0,476	2,400	0,148	0,500	2,400	0,103	0,490	2,400	0,078	0,536	2,400	0,102	0,466	2,400	0,068	0,575	2,400	0,073	0,577	1,200	0,055	0,262	2,400	0,097	0,518
6,050	1,486	0,594	2,420	0,550	0,043	2,420	0,003	0,034	2,420	0,932	0,046	2,420	0,422	0,041	2,420	0,124	0,440	2,420	0,108	0,473	2,420	0,099	0,563	2,420	0,132	0,482	2,420	0,147	0,505	2,420	0,104	0,495	2,420	0,084	0,544	2,420	0,103	0,471	2,420	0,068	0,580	2,420	0,063	0,580	1,210	-4,272E-6	0,264	2,420	0,094	0,523
