Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
5,750	-6,647	0,003	5,750	-5,447	0,015	5,750	-4,821	0,021				5,750	-4,120	0,002	5,750	-4,831	0,021	5,750	-3,257	0,042	5,750	-4,258	0,002	5,750	-3,729	0,002
5,800	-6,621	0,003	5,800	-5,289	0,015	5,800	-4,733	0,023				5,800	-4,106	0,003	5,800	-4,831	0,022	5,800	-3,184	0,042	5,800	-4,183	0,003	5,800	-3,660	5,540E-4
5,850	-6,558	0,004	5,850	-5,145	0,018	5,850	-4,665	0,023				5,850	-4,102	0,002	5,850	-4,818	0,021	5,850	-3,171	0,042	5,850	-4,122	0,002	5,850	-3,632	0,001
5,900	-6,497	0,004	5,900	-5,098	0,018	5,900	-4,646	0,024				5,900	-4,101	0,003	5,900	-4,751	0,022	5,900	-3,170	0,043	5,900	-4,060	0,003	5,900	-3,588	4,807E-4
5,950	-6,473	0,005	5,950	-5,096	0,018	5,950	-4,648	0,024				5,950	-4,101	0,003	5,950	-4,676	0,022	5,950	-3,171	0,042	5,950	-4,050	0,002	5,950	-3,560	0,001
6,000	-6,450	0,005	6,000	-5,096	0,018	6,000	-4,649	0,024				6,000	-4,101	0,003	6,000	-4,617	0,023	6,000	-3,171	0,042	6,000	-4,051	0,003	6,000	-3,560	4,197E-4
6,050	-6,447	0,005	6,050	-5,096	0,019	6,050	-4,652	0,023				6,050	-4,099	0,003	6,050	-4,577	0,022	6,050	-3,171	0,042	6,050	-4,051	0,002	6,050	-3,560	0,001
6,100	-6,420	0,005	6,100	-5,096	0,018	6,100	-4,651	0,024				6,100	-4,078	0,003	6,100	-4,546	0,023	6,100	-3,108	0,043	6,100	-4,051	0,003	6,100	-3,560	5,540E-4
6,150	-6,366	0,006	6,150	-5,096	0,018	6,150	-4,658	0,023				6,150	-3,999	0,003	6,150	-4,544	0,022	6,150	-2,990	0,043	6,150	-4,051	0,002	6,150	-3,559	0,002
6,200	-6,260	0,006	6,200	-5,068	0,018	6,200	-4,628	0,024				6,200	-3,944	0,003	6,200	-4,544	0,023	6,200	-2,878	0,044	6,200	-4,052	0,003	6,200	-3,560	6,394E-4
6,250	-6,163	0,007	6,250	-4,979	0,019	6,250	-4,573	0,024				6,250	-3,858	0,003	6,250	-4,544	0,022	6,250	-2,792	0,043	6,250	-4,048	0,002	6,250	-3,487	0,002
6,300	-6,131	0,007	6,300	-4,877	0,020	6,300	-4,536	0,025				6,300	-3,811	0,003	6,300	-4,544	0,023	6,300	-2,739	0,044	6,300	-4,000	0,003	6,300	-3,369	7,603E-4
6,350	-6,130	0,007	6,350	-4,751	0,022	6,350	-4,487	0,026				6,350	-3,784	0,003	6,350	-4,544	0,022	6,350	-2,656	0,044	6,350	-3,900	0,002	6,350	-3,306	0,001
6,400	-6,130	0,007	6,400	-4,683	0,022	6,400	-4,430	0,026				6,400	-3,720	0,003	6,400	-4,544	0,023	6,400	-2,592	0,045	6,400	-3,805	0,003	6,400	-3,247	7,969E-4
6,450	-6,131	0,008	6,450	-4,680	0,023	6,450	-4,403	0,026				6,450	-3,618	0,003	6,450	-4,544	0,022	6,450	-2,569	0,044	6,450	-3,785	0,002	6,450	-3,205	0,001
6,500	-6,130	0,007	6,500	-4,682	0,022	6,500	-4,371	0,027				6,500	-3,588	0,003	6,500	-4,540	0,023	6,500	-2,563	0,045	6,500	-3,785	0,003	6,500	-3,203	8,994E-4
6,550	-6,131	0,008	6,550	-4,683	0,023	6,550	-4,367	0,027				6,550	-3,587	0,003	6,550	-4,500	0,023	6,550	-2,563	0,044	6,550	-3,785	0,002	6,550	-3,203	0,001
6,600	-6,130	0,008	6,600	-4,683	0,022	6,600	-4,367	0,027				6,600	-3,587	0,003	6,600	-4,438	0,024	6,600	-2,562	0,045	6,600	-3,785	0,003	6,600	-3,203	6,394E-4
6,650	-6,121	0,008	6,650	-4,688	0,023	6,650	-4,367	0,027				6,650	-3,587	0,003	6,650	-4,363	0,023	6,650	-2,563	0,044	6,650	-3,785	0,002	6,650	-3,203	0,001
6,700	-6,075	0,008	6,700	-4,676	0,022	6,700	-4,367	0,027				6,700	-3,586	0,003	6,700	-4,297	0,024	6,700	-2,525	0,045	6,700	-3,785	0,003	6,700	-3,203	3,647E-4
6,750	-6,025	0,008	6,750	-4,620	0,023	6,750	-4,367	0,027				6,750	-3,584	0,003	6,750	-4,241	0,024	6,750	-2,418	0,045	6,750	-3,786	0,002	6,750	-3,184	0,002
6,800	-5,977	0,009	6,800	-4,578	0,023	6,800	-4,359	0,027				6,800	-3,528	0,003	6,800	-4,218	0,025	6,800	-2,299	0,046	6,800	-3,772	0,003	6,800	-3,092	2,756E-4
6,850	-5,925	0,009	6,850	-4,520	0,025	6,850	-4,308	0,027				6,850	-3,454	0,003	6,850	-4,217	0,024	6,850	-2,215	0,046	6,850	-3,701	0,002	6,850	-3,039	0,001
6,900	-5,828	0,010	6,900	-4,479	0,024	6,900	-4,205	0,029				6,900	-3,408	0,003	6,900	-4,214	0,025	6,900	-2,114	0,046	6,900	-3,620	0,003	6,900	-2,962	2,769E-4
6,950	-5,751	0,011	6,950	-4,441	0,026	6,950	-4,080	0,031				6,950	-3,314	0,003	6,950	-4,215	0,023	6,950	-2,045	0,046	6,950	-3,507	0,002	6,950	-2,874	0,001
7,000	-5,684	0,011	7,000	-4,436	0,025	7,000	-3,951	0,033				7,000	-3,214	0,003	7,000	-4,214	0,025	7,000	-2,041	0,047	7,000	-3,413	0,003	7,000	-2,835	2,756E-4
7,050	-5,645	0,012	7,050	-4,436	0,025	7,050	-3,885	0,033				7,050	-3,158	0,003	7,050	-4,214	0,024	7,050	-2,041	0,047	7,050	-3,400	0,002	7,050	-2,828	0,001
7,100	-5,643	0,012	7,100	-4,435	0,025	7,100	-3,880	0,034				7,100	-3,147	0,003	7,100	-4,205	0,025	7,100	-2,041	0,047	7,100	-3,401	0,002	7,100	-2,828	4,307E-4
7,150	-5,643	0,012	7,150	-4,436	0,025	7,150	-3,880	0,033				7,150	-3,147	0,003	7,150	-4,165	0,024	7,150	-2,041	0,047	7,150	-3,400	0,002	7,150	-2,828	0,001
7,200	-5,643	0,012	7,200	-4,435	0,025	7,200	-3,879	0,034				7,200	-3,147	0,003	7,200	-4,101	0,025	7,200	-2,041	0,047	7,200	-3,401	0,002	7,200	-2,828	3,733E-4
7,250	-5,644	0,012	7,250	-4,436	0,025	7,250	-3,879	0,033				7,250	-3,147	0,003	7,250	-4,055	0,025	7,250	-2,041	0,046	7,250	-3,400	0,002	7,250	-2,828	0,001
7,300	-5,626	0,012	7,300	-4,410	0,025	7,300	-3,876	0,034				7,300	-3,147	0,003	7,300	-4,013	0,026	7,300	-2,040	0,047	7,300	-3,402	0,002	7,300	-2,824	4,126E-5
7,350	-5,554	0,012	7,350	-4,303	0,027	7,350	-3,875	0,034				7,350	-3,147	0,003	7,350	-3,956	0,025	7,350	-2,014	0,047	7,350	-3,387	0,002	7,350	-2,760	8,115E-4
7,400	-5,501	0,013	7,400	-4,143	0,029	7,400	-3,839	0,034				7,400	-3,093	0,003	7,400	-3,891	0,026	7,400	-1,926	0,048	7,400	-3,292	0,003	7,400	-2,667	1,072E-4
7,450	-5,421	0,014	7,450	-3,958	0,032	7,450	-3,755	0,035				7,450	-2,992	0,003	7,450	-3,870	0,026	7,450	-1,816	0,047	7,450	-3,211	0,002	7,450	-2,556	9,141E-4
7,500	-5,301	0,015	7,500	-3,899	0,032	7,500	-3,627	0,038				7,500	-2,957	0,003	7,500	-3,868	0,027	7,500	-1,738	0,049	7,500	-3,100	0,002	7,500	-2,471	-6,616E-5
7,550	-5,210	0,016	7,550	-3,896	0,033	7,550	-3,479	0,040				7,550	-2,947	0,003	7,550	-3,868	0,026	7,550	-1,686	0,048	7,550	-3,015	0,002	7,550	-2,459	0,001
7,600	-5,185	0,016	7,600	-3,895	0,032	7,600	-3,331	0,042				7,600	-2,902	0,003	7,600	-3,868	0,026	7,600	-1,622	0,049	7,600	-3,002	0,002	7,600	-2,459	3,159E-4
7,650	-5,186	0,016	7,650	-3,895	0,033	7,650	-3,235	0,044				7,650	-2,863	0,003	7,650	-3,868	0,026	7,650	-1,614	0,048	7,650	-3,002	0,002	7,650	-2,459	8,042E-4
7,700	-5,185	0,016	7,700	-3,895	0,032	7,700	-3,221	0,045				7,700	-2,848	0,003	7,700	-3,868	0,027	7,700	-1,614	0,049	7,700	-3,002	0,002	7,700	-2,459	4,551E-4
7,750	-5,185	0,016	7,750	-3,895	0,033	7,750	-3,219	0,045				7,750	-2,783	0,003	7,750	-3,867	0,026	7,750	-1,614	0,048	7,750	-3,002	0,001	7,750	-2,459	0,001
7,800	-5,186	0,016	7,800	-3,883	0,032	7,800	-3,219	0,045				7,800	-2,769	0,003	7,800	-3,837	0,027	7,800	-1,614	0,049	7,800	-3,002	0,002	7,800	-2,459	1,084E-4
7,850	-5,141	0,017	7,850	-3,806	0,034	7,850	-3,219	0,044				7,850	-2,769	0,003	7,850	-3,800	0,026	7,850	-1,615	0,049	7,850	-3,002	0,002	7,850	-2,453	0,001
7,900	-5,094	0,017	7,900	-3,708	0,035	7,900	-3,219	0,045				7,900	-2,769	0,003	7,900	-3,751	0,027	7,900	-1,603	0,049	7,900	-2,991	0,002	7,900	-2,383	3,135E-4
7,950	-5,013	0,018	7,950	-3,547	0,038	7,950	-3,207	0,045				7,950	-2,769	0,003	7,950	-3,702	0,026	7,950	-1,548	0,049	7,950	-2,922	0,002	7,950	-2,317	9,238E-4
8,000	-4,919	0,019	8,000	-3,416	0,039	8,000	-3,100	0,047				8,000	-2,768	0,003	8,000	-3,627	0,028	8,000	-1,429	0,050	8,000	-2,839	0,002	8,000	-2,262	1,426E-4
8,050	-4,863	0,020	8,050	-3,395	0,041	8,050	-2,928	0,050				8,050	-2,768	0,003	8,050	-3,622	0,027	8,050	-1,306	0,050	8,050	-2,765	0,002	8,050	-2,193	9,019E-4
8,100	-4,813	0,020	8,100	-3,393	0,040	8,100	-2,793	0,053				8,100	-2,722	0,003	8,100	-3,622	0,028	8,100	-1,278	0,051	8,100	-2,686	0,002	8,100	-2,185	6,079E-5
8,150	-4,765	0,021	8,150	-3,393	0,041	8,150	-2,701	0,055				8,150	-2,562	0,003	8,150	-3,622	0,027	8,150	-1,275	0,050	8,150	-2,665	0,001	8,150	-2,185	8,872E-4
8,200	-4,760	0,021	8,200	-3,393	0,040	8,200	-2,614	0,058				8,200	-2,471	0,003	8,200	-3,622	0,028	8,200	-1,275	0,051	8,200	-2,665	0,002	8,200	-2,185	3,760E-5
8,250	-4,759	0,021	8,250	-3,393	0,041	8,250	-2,578	0,059				8,250	-2,450	0,003	8,250	-3,622	0,027	8,250	-1,275	0,050	8,250	-2,665	0,001	8,250	-2,186	5,295E-4
8,300	-4,759	0,021	8,300	-3,376	0,041	8,300	-2,573	0,059				8,300	-2,398	0,003	8,300	-3,622	0,028	8,300	-1,275	0,050	8,300	-2,666	0,002	8,300	-2,185	3,418E-6
8,350	-4,759	0,021	8,350	-3,315	0,042	8,350	-2,572	0,059				8,350	-2,393	0,003	8,350	-3,621	0,027	8,350	-1,275	0,050	8,350	-2,665	0,002	8,350	-2,185	7,554E-4
8,400	-4,756	0,021	8,400	-3,245	0,042	8,400	-2,572	0,059				8,400	-2,393	0,003	8,400	-3,577	0,028	8,400	-1,275	0,051	8,400	-2,665	0,003	8,400	-2,173	4,736E-5
8,450	-4,700	0,022	8,450	-3,130	0,045	8,450	-2,572	0,059				8,450	-2,393	0,003	8,450	-3,511	0,028	8,450	-1,267	0,050	8,450	-2,665	0,002	8,450	-2,115	5,186E-4
8,500	-4,597	0,023	8,500	-2,967	0,048	8,500	-2,573	0,059				8,500	-2,393	0,003	8,500	-3,465	0,028	8,500	-1,195	0,051	8,500	-2,665	0,002	8,500	-2,037	-1,858E-4
8,550	-4,524	0,024	8,550	-2,846	0,051	8,550	-2,555	0,059				8,550	-2,393	0,003	8,550	-3,400	0,028	8,550	-1,115	0,051	8,550	-2,663	0,002	8,550	-1,973	6,760E-4
8,600	-4,435	0,025	8,600	-2,826	0,051	8,600	-2,481	0,061				8,600	-2,393	0,003	8,600	-3,350	0,029	8,600	-1,025	0,052	8,600	-2,624	0,002	8,600	-1,849	-1,760E-4
8,650	-4,354	0,026	8,650	-2,824	0,052	8,650	-2,342	0,065				8,650	-2,393	0,003	8,650	-3,290	0,029	8,650	-0,943	0,051	8,650	-2,567	0,002	8,650	-1,789	7,920E-4
8,700	-4,272	0,027	8,700	-2,823	0,051	8,700	-2,260	0,068				8,700	-2,369	0,003	8,700	-3,249	0,030	8,700	-0,899	0,052	8,700	-2,518	0,002	8,700	-1,783	-6,348E-6
8,750	-4,153	0,028	8,750	-2,823	0,052	8,750	-2,161	0,070				8,750	-2,296	0,003	8,750	-3,229	0,029	8,750	-0,900	0,051	8,750	-2,505	0,002	8,750	-1,785	3,147E-4
8,800	-4,140	0,029	8,800	-2,823	0,051	8,800	-2,051	0,074				8,800	-2,235	0,003	8,800	-3,229	0,029	8,800	-0,900	0,052	8,800	-2,505	0,002	8,800	-1,784	-2,466E-5
8,850	-4,139	0,029	8,850	-2,823	0,052	8,850	-1,986	0,076				8,850	-2,192	0,003	8,850	-3,229	0,029	8,850	-0,900	0,052	8,850	-2,506	0,002	8,850	-1,785	4,929E-4
8,900	-4,139	0,029	8,900	-2,810	0,052	8,900	-1,968	0,077				8,900	-2,142	0,003	8,900	-3,229	0,029	8,900	-0,902	0,053	8,900	-2,506	0,002	8,900	-1,784	-1,614E-4
8,950	-4,138	0,029	8,950	-2,758	0,053	8,950	-1,964	0,077				8,950	-2,093	0,003	8,950	-3,230	0,029	8,950	-0,881	0,052	8,950	-2,506	0,002	8,950	-1,779	2,646E-4
9,000	-4,136	0,029	9,000	-2,671	0,055	9,000	-1,963	0,078				9,000	-2,053	0,003	9,000	-3,229	0,030	9,000	-0,799	0,053	9,000	-2,506	0,002	9,000	-1,726	-2,688E-4
9,050	-4,111	0,029	9,050	-2,597	0,058	9,050	-1,962	0,077				9,050	-2,002	0,003	9,050	-3,224	0,029	9,050	-0,756	0,052	9,050	-2,506	0,002	9,050	-1,673	2,219E-4
9,100	-4,017	0,031	9,100	-2,578	0,057	9,100	-1,962	0,078				9,100	-1,947	0,003	9,100	-3,149	0,030	9,100	-0,729	0,053	9,100	-2,505	0,002	9,100	-1,616	-4,360E-4
9,150	-3,928	0,032	9,150	-2,575	0,058	9,150	-1,959	0,077				9,150	-1,909	0,003	9,150	-3,075	0,029	9,150	-0,717	0,053	9,150	-2,493	0,001	9,150	-1,555	1,621E-4
9,200	-3,866	0,033	9,200	-2,573	0,058	9,200	-1,892	0,080				9,200	-1,858	0,003	9,200	-3,015	0,031	9,200	-0,671	0,053	9,200	-2,431	0,002	9,200	-1,500	-4,946E-4
9,250	-3,798	0,034	9,250	-2,574	0,058	9,250	-1,791	0,083				9,250	-1,841	0,003	9,250	-2,953	0,030	9,250	-0,626	0,053	9,250	-2,358	0,001	9,250	-1,447	2,561E-4
9,300	-3,708	0,035	9,300	-2,574	0,058	9,300	-1,718	0,086				9,300	-1,805	0,003	9,300	-2,886	0,031	9,300	-0,537	0,054	9,300	-2,315	0,002	9,300	-1,443	-5,581E-4
9,350	-3,665	0,035	9,350	-2,574	0,058	9,350	-1,671	0,088				9,350	-1,761	0,003	9,350	-2,873	0,031	9,350	-0,490	0,053	9,350	-2,309	0,001	9,350	-1,443	3,184E-4
9,400	-3,645	0,036	9,400	-2,524	0,059	9,400	-1,656	0,089				9,400	-1,717	0,004	9,400	-2,873	0,031	9,400	-0,487	0,054	9,400	-2,308	0,002	9,400	-1,443	-3,250E-4
9,450	-3,644	0,036	9,450	-2,389	0,063	9,450	-1,652	0,089				9,450	-1,707	0,003	9,450	-2,873	0,031	9,450	-0,488	0,053	9,450	-2,308	0,002	9,450	-1,443	9,375E-5
9,500	-3,643	0,036	9,500	-2,279	0,066	9,500	-1,651	0,089				9,500	-1,707	0,003	9,500	-2,873	0,032	9,500	-0,487	0,054	9,500	-2,309	0,002	9,500	-1,443	-5,410E-4
9,550	-3,647	0,036	9,550	-2,224	0,068	9,550	-1,650	0,089				9,550	-1,707	0,003	9,550	-2,873	0,030	9,550	-0,487	0,054	9,550	-2,309	0,001	9,550	-1,443	2,500E-4
9,600	-3,644	0,036	9,600	-2,212	0,068	9,600	-1,650	0,090				9,600	-1,707	0,003	9,600	-2,873	0,032	9,600	-0,487	0,054	9,600	-2,309	0,002	9,600	-1,441	-3,677E-4
9,650	-3,636	0,036	9,650	-2,209	0,068	9,650	-1,650	0,089				9,650	-1,676	0,003	9,650	-2,874	0,031	9,650	-0,439	0,054	9,650	-2,308	0,001	9,650	-1,366	3,940E-4
9,700	-3,575	0,037	9,700	-2,208	0,068	9,700	-1,650	0,089				9,700	-1,593	0,004	9,700	-2,854	0,031	9,700	-0,361	0,055	9,700	-2,259	0,002	9,700	-1,264	-5,300E-4
9,750	-3,455	0,039	9,750	-2,208	0,069	9,750	-1,649	0,089				9,750	-1,533	0,003	9,750	-2,785	0,031	9,750	-0,305	0,054	9,750	-2,184	0,002	9,750	-1,196	1,743E-4
9,800	-3,345	0,041	9,800	-2,207	0,068	9,800	-1,633	0,090				9,800	-1,498	0,003	9,800	-2,722	0,032	9,800	-0,259	0,055	9,800	-2,118	0,002	9,800	-1,146	-5,667E-4
9,850	-3,264	0,042	9,850	-2,207	0,069	9,850	-1,597	0,091				9,850	-1,489	0,003	9,850	-2,677	0,032	9,850	-0,215	0,055	9,850	-2,044	0,001	9,850	-1,144	2,537E-4
9,900	-3,253	0,043	9,900	-2,206	0,068	9,900	-1,514	0,094				9,900	-1,463	0,003	9,900	-2,635	0,032	9,900	-0,166	0,056	9,900	-1,969	0,002	9,900	-1,144	-8,169E-4
9,950	-3,251	0,043	9,950	-2,179	0,069	9,950	-1,412	0,099				9,950	-1,416	0,003	9,950	-2,521	0,032	9,950	-0,105	0,055	9,950	-1,944	0,001	9,950	-1,144	-1,150E-4
10,000	-3,251	0,043	10,000	-2,126	0,070	10,000	-1,336	0,103				10,000	-1,359	0,003	10,000	-2,424	0,034	10,000	-0,022	0,056	10,000	-1,944	0,002	10,000	-1,143	-4,897E-4
10,050	-3,251	0,043	10,050	-2,029	0,074	10,050	-1,261	0,106				10,050	-1,320	0,003	10,050	-2,415	0,033	10,050	0,003	0,055	10,050	-1,944	0,001	10,050	-1,144	-2,737E-4
10,100	-3,251	0,043	10,100	-1,893	0,078	10,100	-1,214	0,109				10,100	-1,287	0,004	10,100	-2,416	0,033	10,100	0,004	0,056	10,100	-1,944	0,002	10,100	-1,144	-8,340E-4
10,150	-3,250	0,043	10,150	-1,844	0,081	10,150	-1,199	0,110				10,150	-1,286	0,003	10,150	-2,415	0,033	10,150	0,004	0,056	10,150	-1,944	0,001	10,150	-1,144	-1,284E-4
10,200	-3,211	0,044	10,200	-1,834	0,081	10,200	-1,194	0,110				10,200	-1,287	0,003	10,200	-2,415	0,034	10,200	0,004	0,056	10,200	-1,945	0,002	10,200	-1,130	-7,546E-4
10,250	-3,140	0,045	10,250	-1,832	0,081	10,250	-1,191	0,110				10,250	-1,286	0,003	10,250	-2,416	0,033	10,250	0,004	0,056	10,250	-1,944	0,001	10,250	-1,081	3,760E-5
10,300	-3,046	0,047	10,300	-1,830	0,081	10,300	-1,191	0,111				10,300	-1,287	0,003	10,300	-2,415	0,034	10,300	0,004	0,056	10,300	-1,938	0,002	10,300	-1,000	-6,497E-4
10,350	-2,893	0,050	10,350	-1,829	0,082	10,350	-1,190	0,110				10,350	-1,286	0,003	10,350	-2,416	0,033	10,350	0,004	0,056	10,350	-1,900	0,001	10,350	-0,919	-1,699E-4
10,400	-2,800	0,053	10,400	-1,809	0,082	10,400	-1,190	0,111				10,400	-1,287	0,003	10,400	-2,393	0,034	10,400	0,004	0,056	10,400	-1,854	0,002	10,400	-0,837	-0,001
10,450	-2,748	0,053	10,450	-1,781	0,083	10,450	-1,190	0,111				10,450	-1,255	0,003	10,450	-2,344	0,033	10,450	0,004	0,056	10,450	-1,798	0,001	10,450	-0,808	-3,909E-4
10,500	-2,738	0,054	10,500	-1,747	0,084	10,500	-1,190	0,111				10,500	-1,179	0,003	10,500	-2,306	0,034	10,500	0,004	0,057	10,500	-1,756	0,002	10,500	-0,808	-0,001
10,550	-2,735	0,054	10,550	-1,707	0,086	10,550	-1,190	0,111				10,550	-1,114	0,003	10,550	-2,273	0,034	10,550	0,004	0,056	10,550	-1,760	0,001	10,550	-0,808	-1,113E-4
10,600	-2,735	0,054	10,600	-1,670	0,087	10,600	-1,191	0,111				10,600	-1,053	0,003	10,600	-2,226	0,034	10,600	0,004	0,057	10,600	-1,758	0,002	10,600	-0,808	-0,001
10,650	-2,736	0,054	10,650	-1,645	0,088	10,650	-1,202	0,110				10,650	-0,984	0,003	10,650	-2,187	0,034	10,650	0,004	0,056	10,650	-1,755	0,001	10,650	-0,808	-4,128E-4
10,700	-2,739	0,054	10,700	-1,637	0,088	10,700	-1,198	0,111				10,700	-0,957	0,003	10,700	-2,164	0,035	10,700	0,004	0,057	10,700	-1,755	0,001	10,700	-0,803	-0,001
10,750	-2,719	0,054	10,750	-1,635	0,089	10,750	-1,179	0,111				10,750	-0,953	0,003	10,750	-2,163	0,034	10,750	5,048E-4	0,056	10,750	-1,756	8,201E-4	10,750	-0,768	-2,834E-4
10,800	-2,628	0,057	10,800	-1,633	0,089	10,800	-1,162	0,112				10,800	-0,954	0,003	10,800	-2,164	0,035	10,800	-6,561E-4	0,057	10,800	-1,756	0,002	10,800	-0,719	-0,001
10,850	-2,500	0,060	10,850	-1,633	0,089	10,850	-1,147	0,112				10,850	-0,954	0,003	10,850	-2,163	0,035	10,850	-4,706E-4	0,056	10,850	-1,767	0,001	10,850	-0,679	-7,327E-4
10,900	-2,320	0,065	10,900	-1,633	0,089	10,900	-1,108	0,115				10,900	-0,954	0,003	10,900	-2,164	0,035	10,900	-6,073E-4	0,057	10,900	-1,735	0,002	10,900	-0,602	-0,001
10,950	-2,117	0,071	10,950	-1,633	0,089	10,950	-1,075	0,116				10,950	-0,953	0,003	10,950	-2,164	0,034	10,950	-3,241E-4	0,056	10,950	-1,704	0,001	10,950	-0,565	-5,496E-4
11,000	-2,019	0,075	11,000	-1,633	0,089	11,000	-1,041	0,118				11,000	-0,926	0,003	11,000	-2,164	0,035	11,000	0,022	0,057	11,000	-1,658	0,001	11,000	-0,563	-0,001
11,050	-1,987	0,076	11,050	-1,633	0,089	11,050	-0,996	0,120				11,050	-0,848	0,003	11,050	-2,152	0,035	11,050	0,124	0,057	11,050	-1,602	0,001	11,050	-0,564	-7,266E-4
11,100	-1,979	0,077	11,100	-1,633	0,089	11,100	-0,974	0,123				11,100	-0,812	0,003	11,100	-2,117	0,035	11,100	0,214	0,058	11,100	-1,587	0,001	11,100	-0,563	-0,001
11,150	-1,977	0,076	11,150	-1,619	0,090	11,150	-0,966	0,123				11,150	-0,750	0,003	11,150	-2,076	0,035	11,150	0,257	0,058	11,150	-1,587	6,992E-4	11,150	-0,563	-6,643E-4
11,200	-1,982	0,077	11,200	-1,547	0,092	11,200	-0,963	0,124				11,200	-0,717	0,003	11,200	-2,024	0,036	11,200	0,305	0,058	11,200	-1,580	0,001	11,200	-0,564	-0,002
11,250	-1,986	0,076	11,250	-1,439	0,097	11,250	-0,961	0,123				11,250	-0,665	0,003	11,250	-1,950	0,035	11,250	0,376	0,058	11,250	-1,543	0,001	11,250	-0,551	-7,168E-4
11,300	-1,974	0,077	11,300	-1,363	0,100	11,300	-0,960	0,124				11,300	-0,636	0,003	11,300	-1,902	0,036	11,300	0,414	0,059	11,300	-1,487	0,001	11,300	-0,505	-0,001
11,350	-1,919	0,078	11,350	-1,288	0,104	11,350	-0,960	0,123				11,350	-0,634	0,003	11,350	-1,863	0,036	11,350	0,414	0,058	11,350	-1,460	0,001	11,350	-0,472	-4,690E-4
11,400	-1,824	0,082	11,400	-1,249	0,106	11,400	-0,959	0,124				11,400	-0,634	0,003	11,400	-1,851	0,037	11,400	0,415	0,059	11,400	-1,459	0,001	11,400	-0,430	-0,001
11,450	-1,710	0,086	11,450	-1,237	0,107	11,450	-0,947	0,124				11,450	-0,634	0,003	11,450	-1,851	0,036	11,450	0,414	0,058	11,450	-1,459	9,800E-4	11,450	-0,402	-5,264E-4
11,500	-1,616	0,090	11,500	-1,233	0,107	11,500	-0,916	0,126				11,500	-0,634	0,004	11,500	-1,851	0,037	11,500	0,415	0,059	11,500	-1,459	0,001	11,500	-0,397	-0,001
11,550	-1,541	0,093	11,550	-1,231	0,108	11,550	-0,892	0,127				11,550	-0,634	0,003	11,550	-1,851	0,036	11,550	0,413	0,058	11,550	-1,459	0,001	11,550	-0,397	-5,154E-4
11,600	-1,519	0,095	11,600	-1,240	0,107	11,600	-0,860	0,129				11,600	-0,634	0,003	11,600	-1,851	0,037	11,600	0,444	0,059	11,600	-1,460	0,001	11,600	-0,397	-0,001
11,650	-1,514	0,095	11,650	-1,232	0,108	11,650	-0,821	0,131				11,650	-0,630	0,003	11,650	-1,852	0,036	11,650	0,469	0,058	11,650	-1,455	8,286E-4	11,650	-0,397	-7,034E-4
11,700	-1,513	0,095	11,700	-1,204	0,108	11,700	-0,784	0,134				11,700	-0,597	0,003	11,700	-1,833	0,037	11,700	0,501	0,060	11,700	-1,412	0,001	11,700	-0,397	-0,001
11,750	-1,511	0,095	11,750	-1,177	0,110	11,750	-0,746	0,136				11,750	-0,529	0,003	11,750	-1,777	0,037	11,750	0,576	0,059	11,750	-1,349	7,749E-4	11,750	-0,396	-6,936E-4
11,800	-1,511	0,095	11,800	-1,111	0,113	11,800	-0,717	0,139				11,800	-0,485	0,004	11,800	-1,756	0,037	11,800	0,656	0,060	11,800	-1,327	0,001	11,800	-0,378	-0,001
11,850	-1,504	0,095	11,850	-1,010	0,119	11,850	-0,703	0,140				11,850	-0,405	0,003	11,850	-1,711	0,037	11,850	0,725	0,059	11,850	-1,310	5,405E-4	11,850	-0,345	-9,060E-4
11,900	-1,446	0,097	11,900	-0,904	0,125	11,900	-0,697	0,140				11,900	-0,315	0,004	11,900	-1,682	0,037	11,900	0,762	0,061	11,900	-1,309	0,001	11,900	-0,325	-0,002
11,950	-1,329	0,102	11,950	-0,834	0,130	11,950	-0,693	0,141				11,950	-0,249	0,004	11,950	-1,650	0,037	11,950	0,765	0,060	11,950	-1,309	5,833E-4	11,950	-0,270	-7,546E-4
12,000	-1,225	0,108	12,000	-0,808	0,132	12,000	-0,692	0,141				12,000	-0,222	0,003	12,000	-1,620	0,038	12,000	0,765	0,060	12,000	-1,309	0,001	12,000	-0,211	-0,001
